ClaytonDiagramAbbrev,TypeForCubeVis,Type,StoreFilename,Channel,UnitOfMeasurement,EquipRef,Group,ChengLabel,Sensor,Type,SubSensor,MeasurePoint,ConnectedBoard,NodeID,Dashboard Label,CondensedDashboardLabel,
ATS-63,ats63,Air Temp. Sensor,Telosb51.txt,1,DegC,AB-3,Airbox3&4,Telosb51 Ch 1,Telosb51,Sensirion Sht11 sensor,Temp,Air Temp at air diffuser near AirBox3,Telosb51,51,ATS-63 Air Temp At Air Diffuser Near Airbox3,ATS-63 Air Temp At Air Diffuser Near Airbox3,
ATS-64,ats64,Air Temp. Sensor,Telosb52.txt,1,DegC,AB-4,Airbox3&4,Telosb52 Ch 1,Telosb52,Sensirion Sht11 sensor,Temp,Air Temp at air diffuser near AirBox4,Telosb52,52,ATS-64 Air Temp At Air Diffuser Near Airbox4,ATS-64 Air Temp At Air Diffuser Near Airbox4,
ATS-75,ats75,Air Temp. Sensor,Sht755.txt,1,DegC,AB-3,Airbox3&4,Sht755 Ch 1,Sht755,Sensirion Sht75 sensor,Temp,input air Temp for Airbox3,Telosb27,27,ATS-75 Input Air Temp For Airbox3,ATS-75 Input Air Temp For Airbox3,
ATS-76,ats76,Air Temp. Sensor,Sht756.txt,1,DegC,AB-3,Airbox3&4,Sht756 Ch 1,Sht756,Sensirion Sht75 sensor,Temp,output air Temp for Airbox3,Telosb27,27,ATS-76 Output Air Temp For Airbox3,ATS-76 Output Air Temp For Airbox3,
ATS-77,ats77,Air Temp. Sensor,Sht757.txt,1,DegC,AB-4,Airbox3&4,Sht757 Ch 1,Sht757,Sensirion Sht75 sensor,Temp,input air Temp for Airbox4,Telosb28,28,ATS-77 Input Air Temp For Airbox4,ATS-77 Input Air Temp For Airbox4,
ATS-78,ats78,Air Temp. Sensor,Sht758.txt,1,DegC,AB-4,Airbox3&4,Sht758 Ch 1,Sht758,Sensirion Sht75 sensor,Temp,output air Temp for Airbox4,Telosb28,28,ATS-78 Output Air Temp For Airbox4,ATS-78 Output Air Temp For Airbox4,
ATS-93,ats93,Air Temp. Sensor,Telosb53.txt,1,DegC,None,Airbox3&4,Telosb53 Ch 1,Telosb53,Sensirion Sht11 sensor,Temp,Outdoor air Temp at Telosb55,Telosb55,55,ATS-93 Outdoor Air Temp At Telosb55,ATS-93 Outdoor Air Temp At Telosb55,
ATS-94,ats94,Air Temp. Sensor,Telosb54.txt,1,DegC,None,Airbox3&4,Telosb54 Ch 1,Telosb54,Sensirion Sht11 sensor,Temp,Outdoor air Temp at Telosb56,Telosb56,56,ATS-92 Outdoor Air Temp At Telosb56,ATS-94 Outdoor Air Temp At Telosb56,
FS-23,fs23,Fan Speed,Airbox23.txt,2,Hz,AB-3,Airbox3&4,Airbox23 Fan Speed,Airbox3 controller,Airbox controller,Fan speed,Fan speed  for Airbox3,Telosb23,23,FS-23 Fan Speed  For Airbox3,FS-23 Fan Speed  For Airbox3,
FS-24,fs24,Fan Speed,Airbox24.txt,2,Hz,AB-4,Airbox3&4,Airbox24 Fan Speed,Airbox4 controller,Airbox controller,Fan speed,Fan speed  for Airbox4,Telosb24,24,FS-24 Fan Speed  For Airbox4,FS-24 Fan Speed  For Airbox4,
PM-23,pm23,Power Meter,Airbox23.txt,3,W,AB-3,Airbox3&4,Airbox23 Watts,Airbox3 controller,Airbox controller,Consuming Power,Consuming Power for Airbox3,Telosb23,23,PM-23 Consuming Power For Airbox3,PM-23 Consuming Power For Airbox3,
PM-24,pm24,Power Meter,Airbox24.txt,3,W,AB-4,Airbox3&4,Airbox24 Watts,Airbox4 controller,Airbox controller,Consuming Power,Consuming Power for Airbox4,Telosb24,24,PM-24 Consuming Power For Airbox4,PM-24 Consuming Power For Airbox4,
WFM-23,wfm23,Water Flowrate Meter,Flowrate12.txt,3,mL/s,WP-23,Airbox3&4,FlowRate12 Flowrate Ch 3,F2Ch3,Remag vision 2000 flow sensor,NA,water flowrate for Airbox3,PumpBoard2,12,WFM-23 Water Flowrate For Airbox3,WFM-23 Water Flowrate For Airbox3,
WFM-24,wfm24,Water Flowrate Meter,Flowrate12.txt,4,mL/s,WP-24,Airbox3&4,FlowRate12 Flowrate Ch 4,F2Ch4,Remag vision 2000 flow sensor,NA,water flowrate for Airbox4,PumpBoard2,12,WFM-24 Water Flowrate For Airbox4,WFM-24 Water Flowrate For Airbox4,
WTS-23,wts23,Water Temp. Sensor,Temperature2.txt,7,DegC,WP-23,Airbox3&4,Temperature2 Ch 7,T2CH7,ADT7410 temperature sensor,NA,return water Temp for Airbox3,TempBoard2,2,WTS-23 Return Water Temp For Airbox3,WTS-23 Return Water Temp For Airbox3,
WTS-24,wts24,Water Temp. Sensor,Temperature2.txt,8,DegC,WP-24,Airbox3&4,Temperature2 Ch ,T2CH8,ADT7410 temperature sensor,NA,return water Temp for Airbox4,TempBoard2,2,WTS-24 Return Water Temp For Airbox4,WTS-24 Return Water Temp For Airbox4,
WTS-27,wts27,Water Temp. Sensor,Temperature2.txt,11,DegC,WP-23,Airbox3&4,Temperature2 Ch 11,T2CH11,ADT7410 temperature sensor,NA,supply water Temp for Airbox3,TempBoard2,2,WTS-27 Supply Water Temp For Airbox3,WTS-27 Supply Water Temp For Airbox3,
WTS-28,wts28,Water Temp. Sensor,Temperature2.txt,12,DegC,WP-24,Airbox3&4,Temperature2 Ch 12,T2CH12,ADT7410 temperature sensor,NA,supply water Temp for Airbox4,TempBoard2,2,WTS-28 Supply Water Temp For Airbox4,WTS-28 Supply Water Temp For Airbox4,
ATS-31,ats31,Air Temp. Sensor,Temperature3.txt,5,DegC,HRU-1,Heatpump,Temperature3 Ch 5,T3CH5,ADT7410 temperature sensor,NA,output air Temp of heat rejection unit,TempBoard3,3,ATS-31 Output Air Temp Of Heat Rejection Unit,ATS-31 Output Air Temp Of HRU,
ATS-32,ats32,Air Temp. Sensor,Temperature3.txt,1,DegC,HRU-1,Heatpump,Temperature3 Ch 1,T3CH1,ADT7410 temperature sensor,NA,input air Temp of heat rejection unit,TempBoard3,3,ATS-32 Input Air Temp Of Heat Rejection Unit,ATS-32 Input Air Temp Of HRU,
WFM-01,wfm01,Water Flowrate Meter,Flowrate11.txt,5,mL/s,WP-01,Heatpump,FlowRate11 Flowrate Ch 5,F2Ch5,Parker DFC9000100 flow sensor,NA,"water flowrate for HP cold side, parallel flow 1",PumpBoard1,11,WFM-31 Water Flowrate For Heat Rejection Unit,WFM-11 Water Flowrate For HP cold1,
WFM-02,wfm02,Water Flowrate Meter,Flowrate11.txt,6,mL/s,WP-02,Heatpump,FlowRate11 Flowrate Ch 6,F2Ch5,Parker DFC9000100 flow sensor,NA,"water flowrate for HP cold side, parallel flow 2",PumpBoard1,11,WFM-31 Water Flowrate For Heat Rejection Unit,WFM-11 Water Flowrate For HP cold2,
WFM-31,wfm31,Water Flowrate Meter,Flowrate13.txt,1,mL/s,WP-31,Heatpump,FlowRate13 Flowrate Ch 1,F2Ch5,Parker DFC9000100 flow sensor,NA,"water flowrate for heat rejection unit, parallel flow 1",PumpBoard3,13,WFM-31 Water Flowrate For Heat Rejection Unit,WFM-31 Water Flowrate For Heat Rejection Unit1,
WFM-32,wfm32,Water Flowrate Meter,Flowrate13.txt,2,mL/s,WP-32,Heatpump,FlowRate13 Flowrate Ch 2,F2Ch5,Parker DFC9000100 flow sensor,NA,"water flowrate for heat rejection unit, parallel flow 2",PumpBoard3,13,WFM-31 Water Flowrate For Heat Rejection Unit,WFM-31 Water Flowrate For Heat Rejection Unit2,
WTS-01,wts01,Water Temp. Sensor,Temperature1.txt,2,DegC,CHWT-1,Heatpump,Temperature1 Ch 2,T1CH1,ADT7410 temperature sensor,NA,Heat Pump cold supply Temp,TempBoard1,1,WTS-01 Cold Tank Temp,WTS-01 Heat Pump Cold Supply,
